report_id,country,region,date_reported,species,disease,confirmed_cases,deaths,outbreak_status,notes,source,latitude,longitude
25915f20-d895-4c58-bb09-eedbb34b2070,Rwanda,N/A,2024-09-04,Unknown,Rift Valley fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
0b42c7bf-0c4c-4153-8f8b-fe22fc609580,Thailand,N/A,2024-09-03,Unknown,Lumpy skin disease virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
94541886-3141-441d-9db8-5f65ecdd7b1c,Namibia,N/A,2024-09-03,Unknown,Mycoplasma mycoides subsp. mycoides SC (Inf. with) (Contagious bovine pleuropneumonia),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
1aa578f1-2c6d-45f7-bd8e-7843dd83d3f0,Bhutan,N/A,2024-09-02,Swine,African swine fever virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
88bfcb92-7c18-4ed7-8067-212cca02fe57,Bhutan,N/A,2024-09-02,Swine,African swine fever virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
45c215f4-629f-4c7b-bace-6319f18a925a,Bhutan,N/A,2024-09-02,Swine,African swine fever virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
ad7df04b-9289-48b6-98de-8551636c70b8,Bhutan,N/A,2024-09-02,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated strain,https://wahis.woah.org,,
d02aade3-6e8e-4dbd-b215-2199b02b125d,Mexico,N/A,2024-08-30,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated strain,https://wahis.woah.org,,
728793a4-63a9-4d9a-983e-095a68086762,Ukraine,N/A,2024-08-29,Swine,African swine fever virus (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
f89c636c-4c0f-411e-b3a3-d226a1c08133,Iran,N/A,2024-08-28,Unknown,Camelpox virus (inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
0a83f4e0-c037-41b3-a7d9-244f4548c39a,Japan,N/A,2024-08-27,Unknown,Aphanomyces invadans (Inf. with) (Epizootic ulcerative syndrome),0,0,Resolved,Recurrence,https://wahis.woah.org,,
e82b72fb-2c67-4efb-bfb4-7d0f37cf0250,Chile,N/A,2024-08-27,Unknown,Caprine arthritis/encephalitis,0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
a9f5798d-728b-4a4b-8af9-fa7754fc3e37,United Kingdom,N/A,2024-08-27,Unknown,Bovine spongiform encephalopathy,0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
6aac83d3-aef0-41ff-a781-d422ad53eccf,United Kingdom,N/A,2024-08-27,Unknown,Bluetongue virus (Inf. with),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
7ecf1d67-1323-4083-8475-75de69d5d613,Australia,N/A,2024-08-26,Unknown,Varroa spp. (Inf. of honey bees with) (Varroosis),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
6c13119e-f99b-4425-9ee3-ed105b4c0740,South Africa,N/A,2024-08-26,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
32334573-3ecd-49d2-bece-2eae34522477,Indonesia,N/A,2024-08-24,Canine,Rabies virus (Inf. with),0,0,Resolved,First occurrence in a zone or a compartment,https://wahis.woah.org,,
55020613-f7ce-45c9-8427-08f2c6bd994c,Indonesia,N/A,2024-08-24,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,New strain in a zone or a compartment,https://wahis.woah.org,,
3203b045-952e-4c6d-8c0e-53d52f45c30b,Norway,N/A,2024-08-22,Unknown,Gyrodactylus salaris (Inf. with),0,0,Resolved,Recurrence,https://wahis.woah.org,,
9f4bcbdf-0288-4ae6-a8ff-0c0a5069563e,Norway,N/A,2024-08-22,Unknown,Gyrodactylus salaris (Inf. with),0,0,Resolved,Recurrence,https://wahis.woah.org,,
7c8f23c7-fe15-4a31-bc30-b484b214b269,Mexico,N/A,2024-08-21,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated strain,https://wahis.woah.org,,
5d62e02a-59f5-4384-aa89-97c8349ea4ee,Montenegro,N/A,2024-08-21,Unknown,Coxiella burnetii (Q fever) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
9aa617e1-77da-4d30-833a-5998f12ad804,Argentina,N/A,2024-08-20,Poultry,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),0,0,Resolved,Unusual host species,https://wahis.woah.org,,
653e0993-4e90-4bf8-b12c-bd52199cd9ea,Luxembourg,N/A,2024-08-19,Unknown,Bluetongue virus (Inf. with),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
d3831728-b4a3-4ee9-aec7-aa814b9de51b,Bulgaria,N/A,2024-08-13,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,Recurrence of an eradicated disease,https://wahis.woah.org,,
8da5edd8-3df6-4de9-8f72-555e466137df,Germany,N/A,2024-08-13,Poultry,High pathogenicity avian influenza viruses (poultry) (Inf. with),0,0,Resolved,New strain in the country,https://wahis.woah.org,,
